+---------------------+
| bridges_published   |
+---------------------+
| 2017-04-22 18:57:31 |
+---------------------+
+-------------------+---------+
| tor_version       | bridges |
+-------------------+---------+
| 0.2.9.10          |    2298 |
| 0.2.9.5-alpha     |     485 |
| 0.2.8.9           |     194 |
| 0.2.8.11          |     192 |
| 0.2.5.12          |     128 |
| 0.2.9.9           |      91 |
| 0.3.1.0-alpha-dev |      51 |
| 0.2.9.8           |      36 |
| 0.2.8.12          |      27 |
| 0.3.0.5-rc        |      22 |
| 0.2.4.27          |      22 |
| 0.3.0.1-alpha     |      17 |
| 0.2.8.7           |      13 |
| 0.2.8.8           |      12 |
| 0.3.0.4-rc        |       7 |
| 0.2.8.10          |       6 |
| 0.3.0.2-alpha-dev |       4 |
| 0.3.0.3-alpha     |       3 |
| 0.3.0.1-alpha-dev |       3 |
| 0.2.8.13-dev      |       1 |
| 0.2.9.4-alpha     |       1 |
| 0.3.0.2-alpha     |       1 |
| 0.2.9.6-rc        |       1 |
| 0.2.9.8-dev       |       1 |
+-------------------+---------+
