+---------------------+
| relays_published    |
+---------------------+
| 2017-01-25 19:00:00 |
+---------------------+
+-------------------+-------------+-----------+------------+--------+
| tor version       | cw-fraction | exit_prob | guard_prob | relays |
+-------------------+-------------+-----------+------------+--------+
| 0.2.9.8           |        21.6 |     21.25 |      21.52 |   1398 |
| 0.2.9.9           |        15.1 |     18.91 |      14.46 |    700 |
| 0.2.8.9           |        11.6 |     14.12 |      11.80 |    612 |
| 0.2.7.6           |         9.8 |     11.17 |       8.77 |    974 |
| 0.2.5.12          |         9.5 |      6.03 |      10.02 |   1170 |
| 0.2.6.10          |         8.2 |      2.04 |      10.58 |    444 |
| 0.2.4.27          |         4.1 |      5.20 |       3.78 |    600 |
| 0.2.8.11          |         3.5 |      3.29 |       3.90 |    210 |
| 0.2.8.12          |         2.8 |      1.45 |       3.00 |    214 |
| 0.3.0.2-alpha     |         2.5 |      4.25 |       1.97 |     73 |
| 0.3.0.1-alpha     |         2.2 |      3.76 |       1.84 |    106 |
| 0.2.8.10          |         1.6 |      1.59 |       1.72 |    102 |
| 0.2.8.7           |         1.1 |      1.25 |       0.87 |    114 |
| 0.3.0.0-alpha-dev |         0.8 |      0.00 |       1.19 |     12 |
| 0.3.0.1-alpha-dev |         0.6 |      2.68 |       0.12 |     12 |
| 0.2.8.8           |         0.6 |      0.82 |       0.53 |     94 |
| 0.2.8.6           |         0.5 |      0.01 |       0.79 |     40 |
| 0.2.9.4-alpha     |         0.3 |      0.00 |       0.43 |     11 |
| 0.3.0.2-alpha-dev |         0.3 |      0.00 |       0.50 |      5 |
| 0.2.9.5-alpha     |         0.3 |      0.84 |       0.17 |     17 |
| 0.2.4.23          |         0.3 |      0.00 |       0.38 |    152 |
| 0.2.7.5           |         0.2 |      0.20 |       0.23 |     21 |
| 0.2.5.10          |         0.2 |      0.45 |       0.12 |     30 |
| 0.2.6.8           |         0.1 |      0.00 |       0.16 |      7 |
| 0.2.4.24          |         0.1 |      0.00 |       0.19 |     14 |
| 0.2.6.0-alpha-dev |         0.1 |      0.00 |       0.05 |      6 |
| 0.2.7.6-dev       |         0.1 |      0.00 |       0.17 |      2 |
| 0.2.9.1-alpha     |         0.0 |      0.00 |       0.00 |      1 |
| 0.2.5.0-alpha-dev |         0.0 |      0.00 |       0.01 |      1 |
| 0.2.8.9-dev       |         0.0 |      0.00 |       0.00 |      1 |
| 0.2.5.13          |         0.0 |      0.00 |       0.03 |      1 |
| 0.2.5.5-alpha     |         0.0 |      0.01 |       0.00 |     10 |
| 0.2.5.6-alpha     |         0.0 |      0.00 |       0.00 |      1 |
| 0.2.9.3-alpha     |         0.0 |      0.00 |       0.02 |      1 |
| 0.2.4.19          |         0.0 |      0.00 |       0.00 |      1 |
| 0.2.7.3-rc        |         0.0 |      0.00 |       0.00 |      1 |
| 0.2.6.2-alpha     |         0.0 |      0.00 |       0.00 |      1 |
| 0.2.4.25          |         0.0 |      0.00 |       0.00 |      1 |
| 0.2.7.2-alpha     |         0.0 |      0.00 |       0.00 |      2 |
| 0.2.9.7-rc        |         0.0 |      0.00 |       0.04 |      3 |
| 0.2.4.22          |         0.0 |      0.00 |       0.04 |     20 |
| 0.2.9.3-alpha-dev |         0.0 |      0.00 |       0.00 |      1 |
| 0.2.5.8-rc        |         0.0 |      0.00 |       0.01 |      4 |
| 0.2.6.1-alpha-dev |         0.0 |      0.00 |       0.00 |      1 |
| 0.2.8.0-alpha-dev |         0.0 |      0.00 |       0.00 |      2 |
| 0.2.9.2-alpha     |         0.0 |      0.34 |       0.00 |      5 |
| 0.2.9.6-rc        |         0.0 |      0.00 |       0.05 |      7 |
| 0.2.7.4-rc        |         0.0 |      0.00 |       0.00 |      2 |
| 0.2.4.21          |         0.0 |      0.00 |       0.00 |      9 |
| 0.2.8.10-dev      |         0.0 |      0.00 |       0.00 |      1 |
| 0.2.4.20          |         0.0 |      0.00 |       0.13 |     14 |
| 0.2.9.8-dev       |         0.0 |      0.22 |       0.04 |      4 |
| 0.2.6.9           |         0.0 |      0.01 |       0.11 |     21 |
| 0.2.4.26          |         0.0 |      0.00 |       0.03 |      4 |
| 0.2.7.1-alpha     |         0.0 |      0.00 |       0.00 |      1 |
| 0.2.6.6           |         0.0 |      0.00 |       0.00 |      1 |
| 0.2.8.6-dev       |         0.0 |      0.00 |       0.00 |      1 |
| 0.2.8.2-alpha     |         0.0 |      0.00 |       0.00 |      5 |
| 0.2.5.11          |         0.0 |      0.00 |       0.00 |      4 |
| 0.2.6.7           |         0.0 |      0.00 |       0.00 |      9 |
| 0.2.8.1-alpha     |         0.0 |      0.00 |       0.06 |      4 |
+-------------------+-------------+-----------+------------+--------+
